age,gender,faculty_name,teaching_experience,ub_profile,teaching_mode,ia_knowledge,ia_normative_ub,ia_normative_read,interest_knowledge_teaching_and_research,knowledge_in_evaluation,knowledge_in_teaching,knowledge_in_material_creation,knowledge_in_research,uses_ia_in_teaching,uses_ia_in_research,uses_ia_in_creation,frequency_ia_teaching,frequency_ia_research,asks_students_to_use_ia,students_usage_purpose,detected_inappropriate_ia_use,made_changes_due_to_ia,students_ia_opinions,importance_teaching,importance_research,ia_student_agreement,faculty_ia_strategy,perceived_ia_impact,feelings_about_ia,received_training,interest_in_ia_training
28,Prefereixo no contestar,Informació i Mitjans Audiovisuals,Més de 20 anys,PostDoc,Presencial i virtual,Coneixement expert,Desconec si hi ha una normativa o orientació,Si,No vull saber res de la IA,En desacord,D'acord,En desacord,Molt en desacord,Preparar i planificar les classes,Anàlisi de textos,Exàmens o qüestionaris,Setmanalment,Setmanalment,No,Usen les IA per experimentar amb elles,Sí,Sí,Usen les IA perquè els hi faci treballs o tasques,3,5,1,Evitar-les,Un fet positiu,Motivat/da,No tinc cap formació,5
52,No binari,Informació i Mitjans Audiovisuals,Menys de 5 anys,Lector/a,Presencial i virtual,Poc coneixement,Sí hi ha una normativa o orientació,No,Tinc un interès moderat,Molt en desacord,Molt en desacord,Molt d'acord,D'acord,Crear materials docents,No en faig servir,Presentacions,Esporàdicament,Setmanalment,No,Usen les IA per experimentar amb elles,Sí,Sí,altres ...,8,4,2,Integrar-les,Un fet negatiu,Més productiu/va,He rebut una formació fora de la UB,6
63,Femení,Informació i Mitjans Audiovisuals,Entre 10 i 20 anys,Catedràtic/a,Únicament virtual,Coneixement expert,No hi ha una normativa o orientació,No,No vull saber res de la IA,En desacord,Molt en desacord,Molt en desacord,Molt en desacord,No en faig servir,Recollir dades,Textos,Mai,Mai,Sí,Usen les IA perquè els hi faci treballs o tasques,Sí,Sí,Usen les IA per experimentar amb elles,5,6,2,Prohibir-les,Un fet negatiu,Motivat/da,He rebut una formació al meu departament o facultat,3
36,Femení,Infermeria,Més de 20 anys,Catedràtic/a,Únicament presencial,Cap coneixement,Desconec si hi ha una normativa o orientació,Si,Tinc un interès moderat,D'acord,Molt en desacord,Molt en desacord,Molt en desacord,Avaluar tasques,Recollir dades,Imatges,Esporàdicament,Diàriament,No,Per fer resums de llibres o articles,Sí,No,Per fer resums de llibres o articles,5,3,1,Integrar-les,Un fet negatiu,Engrescat/da,No tinc cap formació,9
67,Altres,Infermeria,Entre 10 i 20 anys,PreDoc,Únicament virtual,Poc coneixement,No hi ha una normativa o orientació,Si,Tinc molt d'interès,En desacord,Molt d'acord,D'acord,Molt d'acord,No en faig servir,Visualització de dades,Vídeos,Esporàdicament,Setmanalment,Sí,Per fer resums de llibres o articles,No,Sí,altres ...,3,1,1,Prohibir-les,Un fet positiu,Més productiu/va,M'he autoformat,5
56,Masculí,Infermeria,Entre 5 i 10 anys,Agregat/da,Únicament presencial,Coneixement expert,Sí hi ha una normativa o orientació,No,Tinc molt d'interès,D'acord,D'acord,En desacord,D'acord,Avaluar tasques,Anàlisi de dades,Exàmens o qüestionaris,Esporàdicament,Mai,Sí,altres ...,Sí,Sí,Usen les IA perquè els hi faci treballs o tasques,5,3,1,Superar-les,Un fet negatiu,Sobrepassat/da,He rebut una formació fora de la UB,7
53,Prefereixo no contestar,Infermeria,Entre 10 i 20 anys,Titular,Únicament presencial,Bon coneixement,No hi ha una normativa o orientació,Si,Tinc molt d'interès,En desacord,Molt en desacord,Molt en desacord,Molt d'acord,No en faig servir,Transcripcions,Textos,Diàriament,Mai,No,Usen les IA per experimentar amb elles,No,No,Usen les IA per experimentar amb elles,9,2,2,Prohibir-les,Un fet negatiu,"Abandonat/da, sense suport",He estat o sóc formador/a d'IA,8
62,No binari,Infermeria,Menys de 5 anys,Lector/a,Presencial i virtual,Coneixement expert,No hi ha una normativa o orientació,Si,Tinc molt d'interès,Molt en desacord,Molt en desacord,D'acord,En desacord,No en faig servir,Transcripcions,Vídeos,Mai,Mai,Sí,altres ...,No,Sí,Usen les IA com expert a qui preguntar,7,5,3,altres ...,Un fet positiu,Engrescat/da,He rebut una formació al meu departament o facultat,5
41,Femení,Infermeria,Entre 10 i 20 anys,Col·laborador/a permanent,Presencial i virtual,Cap coneixement,Sí hi ha una normativa o orientació,Si,Tinc poc interès,Molt en desacord,Molt d'acord,Molt d'acord,En desacord,No en faig servir,Transcripcions,Situacions d'aprenentatge,Diàriament,Mai,Sí,Per fer resums de llibres o articles,No,Sí,Per fer resums de llibres o articles,4,7,2,Evitar-les,Un fet positiu,"Abandonat/da, sense suport",No tinc cap formació,9
56,No binari,Infermeria,Menys de 5 anys,Associat/da,Únicament virtual,Bon coneixement,Desconec si hi ha una normativa o orientació,No,Tinc poc interès,Molt en desacord,D'acord,Molt d'acord,En desacord,Crear materials docents,Recollir dades,Imatges,Mai,Mai,Sí,Usen les IA perquè els hi faci treballs o tasques,No,Sí,Usen les IA per practicar o auto-avaluar-se,7,7,2,altres ...,Un fet negatiu,Més productiu/va,He estat o sóc formador/a d'IA,2
43,Masculí,Infermeria,Entre 10 i 20 anys,Associat/da,Únicament virtual,Poc coneixement,Desconec si hi ha una normativa o orientació,Si,No vull saber res de la IA,Molt d'acord,Molt d'acord,En desacord,En desacord,No en faig servir,No en faig servir,Mapes conceptuals o esquemes,Mai,Esporàdicament,Sí,Usen les IA perquè els hi faci treballs o tasques,No,Sí,Usen les IA perquè els hi faci treballs o tasques,3,9,2,Integrar-les,Un fet positiu,Motivat/da,No tinc cap formació,9
26,No binari,Infermeria,Més de 20 anys,Lector/a,Únicament presencial,Bon coneixement,Sí hi ha una normativa o orientació,No,Tinc poc interès,Molt en desacord,D'acord,Molt d'acord,D'acord,Crear materials docents,Visualització de dades,Presentacions,Diàriament,Esporàdicament,Sí,Usen les IA com expert a qui preguntar,No,No,Usen les IA perquè els hi faci treballs o tasques,1,9,3,Evitar-les,Un fet positiu,Analfabet/ta,He estat o sóc formador/a d'IA,6
67,Femení,Infermeria,Entre 5 i 10 anys,Agregat/da,Presencial i virtual,Coneixement expert,Sí hi ha una normativa o orientació,No,Tinc molt d'interès,Molt d'acord,D'acord,D'acord,En desacord,No en faig servir,Anàlisi de textos,Imatges,Setmanalment,Diàriament,Sí,Per fer resums de llibres o articles,Sí,No,altres ...,6,1,1,Evitar-les,Un fet positiu,Engrescat/da,No tinc cap formació,9
45,Prefereixo no contestar,Matemàtiques i Informàtica,Menys de 5 anys,Catedràtic/a,Únicament virtual,Cap coneixement,No hi ha una normativa o orientació,Si,Tinc poc interès,Molt d'acord,Molt d'acord,Molt d'acord,D'acord,No en faig servir,Anàlisi de dades,Imatges,Mai,Esporàdicament,Sí,Usen les IA perquè els hi faci treballs o tasques,No,No,Usen les IA per experimentar amb elles,9,1,3,Superar-les,Un fet positiu,Engrescat/da,He rebut una formació fora de la UB,5
38,Masculí,Matemàtiques i Informàtica,Menys de 5 anys,Lector/a,Únicament presencial,Poc coneixement,Desconec si hi ha una normativa o orientació,No,Tinc poc interès,Molt en desacord,D'acord,Molt d'acord,Molt en desacord,Crear materials docents,No en faig servir,Vídeos,Mai,Setmanalment,Sí,altres ...,No,Sí,Usen les IA per practicar o auto-avaluar-se,9,8,3,Superar-les,Un fet positiu,Engrescat/da,He rebut una formació fora de la UB,9
53,No binari,Matemàtiques i Informàtica,Menys de 5 anys,Agregat/da,Presencial i virtual,Poc coneixement,Sí hi ha una normativa o orientació,No,Tinc poc interès,Molt en desacord,Molt d'acord,Molt d'acord,Molt d'acord,Crear activitats d'aprenentatge,Recollir dades,Mapes conceptuals o esquemes,Setmanalment,Mai,No,altres ...,No,Sí,Usen les IA per practicar o auto-avaluar-se,7,6,2,Prohibir-les,Un fet negatiu,"Abandonat/da, sense suport",He estat o sóc formador/a d'IA,3
43,Prefereixo no contestar,Matemàtiques i Informàtica,Entre 10 i 20 anys,Titular,Únicament presencial,Poc coneixement,No hi ha una normativa o orientació,Si,Tinc un interès moderat,En desacord,D'acord,En desacord,En desacord,Crear activitats d'aprenentatge,Recollir dades,Situacions d'aprenentatge,Diàriament,Esporàdicament,Sí,Usen les IA com expert a qui preguntar,No,Sí,Usen les IA per practicar o auto-avaluar-se,8,7,3,Superar-les,Un fet negatiu,Motivat/da,He rebut una formació del IDP/ICE,3
49,Prefereixo no contestar,Matemàtiques i Informàtica,Més de 20 anys,Col·laborador/a permanent doctor/a,Únicament virtual,Bon coneixement,Sí hi ha una normativa o orientació,No,Tinc molt d'interès,Molt en desacord,En desacord,Molt en desacord,Molt en desacord,No en faig servir,Anàlisi de textos,Presentacions,Esporàdicament,Esporàdicament,Sí,Usen les IA com expert a qui preguntar,No,No,Usen les IA per practicar o auto-avaluar-se,8,5,1,Superar-les,Un fet positiu,"Abandonat/da, sense suport",No tinc cap formació,8
56,Altres,Matemàtiques i Informàtica,Entre 10 i 20 anys,Titular,Presencial i virtual,Cap coneixement,Desconec si hi ha una normativa o orientació,No,Tinc un interès moderat,En desacord,Molt d'acord,Molt en desacord,D'acord,Avaluar processos,Recollir dades,Textos,Diàriament,Setmanalment,No,Usen les IA per practicar o auto-avaluar-se,No,No,Usen les IA perquè els hi faci treballs o tasques,4,9,3,Evitar-les,Un fet positiu,Sobrepassat/da,He estat o sóc formador/a d'IA,5
41,Masculí,Matemàtiques i Informàtica,Menys de 5 anys,Col·laborador/a permanent doctor/a,Presencial i virtual,Poc coneixement,Desconec si hi ha una normativa o orientació,No,Tinc molt d'interès,En desacord,Molt en desacord,Molt en desacord,Molt en desacord,Avaluar tasques,No en faig servir,Imatges,Diàriament,Esporàdicament,Sí,Usen les IA per experimentar amb elles,Sí,No,Usen les IA per experimentar amb elles,4,7,1,Integrar-les,Un fet positiu,Motivat/da,He rebut una formació fora de la UB,2
35,Altres,Matemàtiques i Informàtica,Entre 10 i 20 anys,PreDoc,Únicament presencial,Bon coneixement,Sí hi ha una normativa o orientació,Si,Tinc un interès moderat,Molt d'acord,En desacord,Molt en desacord,En desacord,Crear activitats d'aprenentatge,Visualització de dades,Mapes conceptuals o esquemes,Esporàdicament,Esporàdicament,No,Per fer resums de llibres o articles,No,No,Usen les IA per experimentar amb elles,9,5,2,Integrar-les,Un fet negatiu,Motivat/da,He rebut una formació del IDP/ICE,2
57,Prefereixo no contestar,Matemàtiques i Informàtica,Entre 5 i 10 anys,Titular,Únicament virtual,Coneixement expert,Sí hi ha una normativa o orientació,No,Tinc molt d'interès,En desacord,Molt en desacord,Molt d'acord,D'acord,No en faig servir,Recollir dades,Exàmens o qüestionaris,Esporàdicament,Mai,Sí,Usen les IA perquè els hi faci treballs o tasques,No,Sí,Per fer resums de llibres o articles,8,1,1,Superar-les,Un fet positiu,Analfabet/ta,He rebut una formació al meu departament o facultat,6
42,Altres,Matemàtiques i Informàtica,Menys de 5 anys,Titular,Únicament presencial,Bon coneixement,Sí hi ha una normativa o orientació,Si,Tinc un interès moderat,D'acord,En desacord,Molt d'acord,Molt d'acord,Avaluar tasques,No en faig servir,Mapes conceptuals o esquemes,Setmanalment,Mai,No,Usen les IA per experimentar amb elles,No,No,Usen les IA perquè els hi faci treballs o tasques,4,4,2,Integrar-les,Un fet positiu,Engrescat/da,M'he autoformat,9
33,Altres,Medicina i Ciències de la Salut,Menys de 5 anys,Agregat/da,Únicament virtual,Poc coneixement,Sí hi ha una normativa o orientació,Si,Tinc un interès moderat,D'acord,En desacord,En desacord,D'acord,Avaluar processos,Recollir dades,Mapes conceptuals o esquemes,Mai,Mai,Sí,altres ...,Sí,Sí,altres ...,8,1,2,Superar-les,Un fet positiu,Motivat/da,M'he autoformat,2
58,Altres,Medicina i Ciències de la Salut,Entre 5 i 10 anys,Catedràtic/a,Presencial i virtual,Bon coneixement,Desconec si hi ha una normativa o orientació,Si,Tinc molt d'interès,En desacord,D'acord,Molt en desacord,D'acord,Crear materials docents,Anàlisi de dades,Vídeos,Diàriament,Mai,Sí,Usen les IA perquè els hi faci treballs o tasques,No,No,Per fer resums de llibres o articles,6,6,3,Superar-les,Un fet positiu,"Abandonat/da, sense suport",He estat o sóc formador/a d'IA,9
34,Femení,Medicina i Ciències de la Salut,Menys de 5 anys,Titular,Únicament virtual,Poc coneixement,No hi ha una normativa o orientació,No,Tinc un interès moderat,En desacord,En desacord,En desacord,Molt en desacord,No en faig servir,Anàlisi de textos,Presentacions,Esporàdicament,Diàriament,No,altres ...,Sí,No,Usen les IA per practicar o auto-avaluar-se,4,6,2,altres ...,Un fet negatiu,Sobrepassat/da,He rebut una formació del IDP/ICE,3
63,Masculí,Medicina i Ciències de la Salut,Menys de 5 anys,Associat/da,Presencial i virtual,Coneixement expert,No hi ha una normativa o orientació,No,Tinc poc interès,D'acord,Molt d'acord,Molt en desacord,Molt d'acord,Avaluar processos,Transcripcions,Imatges,Mai,Diàriament,Sí,Usen les IA per practicar o auto-avaluar-se,No,No,altres ...,9,4,2,Superar-les,Un fet positiu,Més productiu/va,He rebut una formació del IDP/ICE,5
69,Femení,Medicina i Ciències de la Salut,Més de 20 anys,Titular,Únicament presencial,Bon coneixement,Desconec si hi ha una normativa o orientació,Si,Tinc poc interès,En desacord,Molt d'acord,D'acord,Molt d'acord,Crear activitats d'aprenentatge,No en faig servir,Textos,Esporàdicament,Diàriament,Sí,Usen les IA perquè els hi faci treballs o tasques,No,No,Per fer resums de llibres o articles,2,6,1,altres ...,Un fet positiu,Més productiu/va,He rebut una formació del IDP/ICE,2
49,Masculí,Medicina i Ciències de la Salut,Menys de 5 anys,Agregat/da,Únicament virtual,Poc coneixement,Desconec si hi ha una normativa o orientació,Si,Tinc poc interès,D'acord,Molt d'acord,Molt d'acord,En desacord,Crear materials docents,No en faig servir,Vídeos,Esporàdicament,Mai,Sí,Per fer resums de llibres o articles,No,Sí,altres ...,5,3,2,Superar-les,Un fet negatiu,"Abandonat/da, sense suport",He estat o sóc formador/a d'IA,3
32,No binari,Medicina i Ciències de la Salut,Entre 10 i 20 anys,PostDoc,Únicament virtual,Bon coneixement,Desconec si hi ha una normativa o orientació,No,Tinc poc interès,Molt d'acord,Molt d'acord,D'acord,D'acord,Avaluar processos,Anàlisi de dades,Presentacions,Esporàdicament,Diàriament,Sí,altres ...,No,Sí,Usen les IA com expert a qui preguntar,2,8,1,Integrar-les,Un fet negatiu,Engrescat/da,He rebut una formació al meu departament o facultat,3
54,Prefereixo no contestar,Medicina i Ciències de la Salut,Entre 10 i 20 anys,Titular,Únicament virtual,Cap coneixement,Desconec si hi ha una normativa o orientació,No,Tinc molt d'interès,En desacord,D'acord,Molt d'acord,Molt en desacord,Preparar i planificar les classes,Visualització de dades,Presentacions,Mai,Setmanalment,Sí,Usen les IA per practicar o auto-avaluar-se,No,Sí,Usen les IA per experimentar amb elles,9,7,3,altres ...,Un fet negatiu,Motivat/da,He estat o sóc formador/a d'IA,2
49,Masculí,Medicina i Ciències de la Salut,Entre 5 i 10 anys,Col·laborador/a permanent doctor/a,Únicament virtual,Coneixement expert,Sí hi ha una normativa o orientació,Si,No vull saber res de la IA,En desacord,En desacord,D'acord,Molt en desacord,Avaluar tasques,Anàlisi de textos,Exàmens o qüestionaris,Setmanalment,Esporàdicament,No,Usen les IA perquè els hi faci treballs o tasques,No,Sí,altres ...,7,4,2,Evitar-les,Un fet positiu,"Abandonat/da, sense suport",He estat o sóc formador/a d'IA,1
57,Prefereixo no contestar,Medicina i Ciències de la Salut,Més de 20 anys,Agregat/da,Únicament virtual,Bon coneixement,Sí hi ha una normativa o orientació,No,Tinc poc interès,D'acord,D'acord,Molt d'acord,En desacord,Crear activitats d'aprenentatge,Recollir dades,Textos,Esporàdicament,Setmanalment,Sí,Usen les IA per experimentar amb elles,No,No,Usen les IA com expert a qui preguntar,3,9,2,altres ...,Un fet negatiu,Engrescat/da,He rebut una formació del IDP/ICE,5
50,Altres,Psicologia,Entre 5 i 10 anys,Agregat/da,Únicament virtual,Poc coneixement,No hi ha una normativa o orientació,Si,Tinc un interès moderat,Molt en desacord,En desacord,D'acord,Molt en desacord,Avaluar tasques,Visualització de dades,Vídeos,Esporàdicament,Diàriament,Sí,Usen les IA com expert a qui preguntar,Sí,Sí,altres ...,9,7,1,altres ...,Un fet negatiu,Sobrepassat/da,He rebut una formació al meu departament o facultat,5
41,No binari,Psicologia,Més de 20 anys,Catedràtic/a,Únicament virtual,Poc coneixement,Desconec si hi ha una normativa o orientació,Si,No vull saber res de la IA,Molt d'acord,Molt en desacord,Molt en desacord,Molt d'acord,Crear activitats d'aprenentatge,No en faig servir,Situacions d'aprenentatge,Mai,Mai,No,Per fer resums de llibres o articles,No,No,Usen les IA per experimentar amb elles,7,5,1,Superar-les,Un fet negatiu,Motivat/da,He rebut una formació al meu departament o facultat,5
38,Prefereixo no contestar,Psicologia,Menys de 5 anys,Catedràtic/a,Únicament presencial,Coneixement expert,Sí hi ha una normativa o orientació,Si,Tinc poc interès,En desacord,En desacord,D'acord,Molt d'acord,No en faig servir,No en faig servir,Situacions d'aprenentatge,Esporàdicament,Esporàdicament,No,Per fer resums de llibres o articles,No,Sí,Usen les IA per experimentar amb elles,3,6,1,Prohibir-les,Un fet positiu,Analfabet/ta,He rebut una formació al meu departament o facultat,2
29,No binari,Psicologia,Entre 5 i 10 anys,Catedràtic/a,Únicament virtual,Poc coneixement,Desconec si hi ha una normativa o orientació,Si,No vull saber res de la IA,En desacord,En desacord,En desacord,Molt d'acord,Preparar i planificar les classes,Anàlisi de dades,Presentacions,Mai,Esporàdicament,No,Usen les IA com expert a qui preguntar,No,No,Usen les IA per practicar o auto-avaluar-se,2,9,1,Evitar-les,Un fet negatiu,Més productiu/va,He rebut una formació fora de la UB,3
36,Femení,Psicologia,Entre 10 i 20 anys,Col·laborador/a permanent doctor/a,Únicament presencial,Poc coneixement,No hi ha una normativa o orientació,No,Tinc un interès moderat,Molt en desacord,Molt d'acord,Molt d'acord,En desacord,Crear materials docents,No en faig servir,Imatges,Setmanalment,Mai,Sí,Per fer resums de llibres o articles,No,No,Usen les IA com expert a qui preguntar,4,2,2,altres ...,Un fet negatiu,Motivat/da,M'he autoformat,4
33,No binari,Psicologia,Entre 5 i 10 anys,Agregat/da,Presencial i virtual,Coneixement expert,Desconec si hi ha una normativa o orientació,Si,Tinc molt d'interès,Molt d'acord,D'acord,Molt en desacord,Molt en desacord,Preparar i planificar les classes,Transcripcions,Mapes conceptuals o esquemes,Esporàdicament,Mai,No,Usen les IA com expert a qui preguntar,No,Sí,altres ...,1,7,1,Evitar-les,Un fet negatiu,Engrescat/da,He rebut una formació del IDP/ICE,8
36,Femení,Psicologia,Entre 5 i 10 anys,Col·laborador/a permanent,Presencial i virtual,Cap coneixement,Desconec si hi ha una normativa o orientació,Si,No vull saber res de la IA,Molt d'acord,Molt en desacord,Molt d'acord,D'acord,Avaluar processos,Anàlisi de textos,Situacions d'aprenentatge,Diàriament,Setmanalment,Sí,Usen les IA per experimentar amb elles,No,Sí,Per fer resums de llibres o articles,1,2,3,altres ...,Un fet positiu,Motivat/da,He rebut una formació del IDP/ICE,5
27,Prefereixo no contestar,Psicologia,Entre 5 i 10 anys,Col·laborador/a permanent doctor/a,Únicament virtual,Coneixement expert,Sí hi ha una normativa o orientació,No,No vull saber res de la IA,D'acord,En desacord,Molt d'acord,En desacord,Preparar i planificar les classes,Anàlisi de dades,Textos,Esporàdicament,Setmanalment,Sí,Per fer resums de llibres o articles,Sí,No,Usen les IA perquè els hi faci treballs o tasques,6,9,3,Superar-les,Un fet negatiu,"Abandonat/da, sense suport",He rebut una formació fora de la UB,4
61,Masculí,Psicologia,Entre 10 i 20 anys,Agregat/da,Únicament virtual,Cap coneixement,Desconec si hi ha una normativa o orientació,Si,Tinc poc interès,En desacord,Molt en desacord,Molt d'acord,Molt d'acord,Crear activitats d'aprenentatge,No en faig servir,Vídeos,Diàriament,Setmanalment,No,Usen les IA per practicar o auto-avaluar-se,Sí,Sí,Usen les IA com expert a qui preguntar,6,7,1,Integrar-les,Un fet negatiu,Sobrepassat/da,He rebut una formació fora de la UB,3
27,Masculí,Psicologia,Menys de 5 anys,Lector/a,Únicament presencial,Bon coneixement,No hi ha una normativa o orientació,No,No vull saber res de la IA,Molt en desacord,En desacord,Molt en desacord,Molt en desacord,Avaluar processos,No en faig servir,Vídeos,Diàriament,Diàriament,Sí,Usen les IA per practicar o auto-avaluar-se,No,Sí,Usen les IA com expert a qui preguntar,4,7,2,Prohibir-les,Un fet positiu,Engrescat/da,He rebut una formació al meu departament o facultat,8
61,No binari,Química,Entre 5 i 10 anys,Lector/a,Únicament presencial,Cap coneixement,Desconec si hi ha una normativa o orientació,No,Tinc un interès moderat,Molt d'acord,D'acord,Molt d'acord,D'acord,No en faig servir,Anàlisi de textos,Vídeos,Esporàdicament,Mai,Sí,Per fer resums de llibres o articles,Sí,No,Usen les IA perquè els hi faci treballs o tasques,8,8,3,Integrar-les,Un fet negatiu,Sobrepassat/da,He rebut una formació al meu departament o facultat,3
29,Femení,Química,Entre 5 i 10 anys,Associat/da,Únicament presencial,Coneixement expert,Desconec si hi ha una normativa o orientació,Si,Tinc poc interès,Molt d'acord,Molt en desacord,En desacord,En desacord,Avaluar tasques,No en faig servir,Situacions d'aprenentatge,Setmanalment,Setmanalment,Sí,altres ...,Sí,No,Usen les IA perquè els hi faci treballs o tasques,8,4,1,Evitar-les,Un fet negatiu,"Abandonat/da, sense suport",He estat o sóc formador/a d'IA,1
54,Prefereixo no contestar,Química,Entre 5 i 10 anys,Lector/a,Únicament presencial,Cap coneixement,Sí hi ha una normativa o orientació,No,Tinc un interès moderat,En desacord,D'acord,Molt en desacord,Molt en desacord,Crear activitats d'aprenentatge,Anàlisi de textos,Textos,Mai,Mai,Sí,altres ...,No,Sí,Usen les IA per practicar o auto-avaluar-se,6,2,2,Evitar-les,Un fet negatiu,Analfabet/ta,M'he autoformat,6
35,No binari,Química,Més de 20 anys,Agregat/da,Únicament presencial,Bon coneixement,Desconec si hi ha una normativa o orientació,Si,Tinc poc interès,D'acord,En desacord,Molt en desacord,Molt en desacord,Crear materials docents,No en faig servir,Mapes conceptuals o esquemes,Mai,Setmanalment,No,Usen les IA per experimentar amb elles,No,No,Usen les IA perquè els hi faci treballs o tasques,3,1,2,Superar-les,Un fet positiu,Més productiu/va,No tinc cap formació,4
53,Prefereixo no contestar,Química,Entre 5 i 10 anys,PostDoc,Únicament presencial,Bon coneixement,Sí hi ha una normativa o orientació,No,Tinc molt d'interès,Molt en desacord,D'acord,Molt d'acord,En desacord,Avaluar tasques,Recollir dades,Exàmens o qüestionaris,Diàriament,Diàriament,No,Usen les IA com expert a qui preguntar,No,No,Usen les IA com expert a qui preguntar,6,6,1,Integrar-les,Un fet positiu,Motivat/da,He rebut una formació fora de la UB,5
38,Masculí,Química,Menys de 5 anys,Agregat/da,Presencial i virtual,Cap coneixement,Desconec si hi ha una normativa o orientació,Si,No vull saber res de la IA,En desacord,Molt en desacord,Molt d'acord,Molt d'acord,Crear activitats d'aprenentatge,No en faig servir,Vídeos,Setmanalment,Mai,No,altres ...,Sí,Sí,Per fer resums de llibres o articles,4,1,2,Integrar-les,Un fet positiu,Engrescat/da,He rebut una formació fora de la UB,7
37,Masculí,Química,Entre 10 i 20 anys,Col·laborador/a permanent doctor/a,Presencial i virtual,Cap coneixement,Desconec si hi ha una normativa o orientació,No,Tinc un interès moderat,En desacord,En desacord,Molt en desacord,En desacord,Crear materials docents,Anàlisi de dades,Presentacions,Setmanalment,Mai,Sí,Usen les IA perquè els hi faci treballs o tasques,No,Sí,Per fer resums de llibres o articles,9,7,1,altres ...,Un fet positiu,Més productiu/va,He rebut una formació fora de la UB,7
59,Masculí,Química,Entre 5 i 10 anys,Associat/da,Únicament virtual,Cap coneixement,Sí hi ha una normativa o orientació,No,Tinc poc interès,Molt d'acord,En desacord,En desacord,Molt d'acord,Crear activitats d'aprenentatge,Recollir dades,No en faig servir,Mai,Setmanalment,No,Usen les IA per experimentar amb elles,No,Sí,Usen les IA com expert a qui preguntar,5,9,2,Superar-les,Un fet positiu,Motivat/da,No tinc cap formació,2
58,Femení,Química,Més de 20 anys,Catedràtic/a,Únicament presencial,Cap coneixement,Desconec si hi ha una normativa o orientació,Si,No vull saber res de la IA,En desacord,Molt en desacord,Molt d'acord,D'acord,Crear materials docents,Transcripcions,Presentacions,Diàriament,Diàriament,No,Usen les IA per experimentar amb elles,Sí,Sí,Per fer resums de llibres o articles,7,1,2,altres ...,Un fet positiu,Motivat/da,He rebut una formació fora de la UB,8
48,Masculí,Química,Més de 20 anys,PreDoc,Únicament virtual,Poc coneixement,Sí hi ha una normativa o orientació,No,No vull saber res de la IA,Molt en desacord,En desacord,D'acord,En desacord,Crear activitats d'aprenentatge,Recollir dades,Exàmens o qüestionaris,Diàriament,Esporàdicament,No,Usen les IA per practicar o auto-avaluar-se,No,Sí,altres ...,4,8,3,Integrar-les,Un fet positiu,"Abandonat/da, sense suport",He rebut una formació del IDP/ICE,5
